Organization Name,Invested In,Api Url,Description,Rank
WI Harper Group,rwdc-industries,https://api.crunchbase.com/v3.1/organizations/rwdc-industries,"",9268
WI Harper Group,moonshot-internet,https://api.crunchbase.com/v3.1/organizations/moonshot-internet,"",95649
WI Harper Group,panorama-medicine,https://api.crunchbase.com/v3.1/organizations/panorama-medicine,"",23939
WI Harper Group,grubmarket-inc,https://api.crunchbase.com/v3.1/organizations/grubmarket-inc,"",25193
WI Harper Group,visenze,https://api.crunchbase.com/v3.1/organizations/visenze,"",2019
WI Harper Group,yunphant-blockchain,https://api.crunchbase.com/v3.1/organizations/yunphant-blockchain,"",43500
WI Harper Group,edigene-inc,https://api.crunchbase.com/v3.1/organizations/edigene-inc,"",10586
WI Harper Group,airy-3d,https://api.crunchbase.com/v3.1/organizations/airy-3d,"",17602
WI Harper Group,coffee-meets-bagel,https://api.crunchbase.com/v3.1/organizations/coffee-meets-bagel,"",25455
WI Harper Group,avaamo,https://api.crunchbase.com/v3.1/organizations/avaamo,"",2849
WI Harper Group,kdan-mobile-software,https://api.crunchbase.com/v3.1/organizations/kdan-mobile-software,"",14221
WI Harper Group,noble-ai,https://api.crunchbase.com/v3.1/organizations/noble-ai,"",59218
WI Harper Group,engine-biosciences,https://api.crunchbase.com/v3.1/organizations/engine-biosciences,"",11370
WI Harper Group,space-cycle,https://api.crunchbase.com/v3.1/organizations/space-cycle,"",21920
WI Harper Group,drop-2,https://api.crunchbase.com/v3.1/organizations/drop-2,"",11999
WI Harper Group,nway,https://api.crunchbase.com/v3.1/organizations/nway,"",12311
WI Harper Group,h2-inc,https://api.crunchbase.com/v3.1/organizations/h2-inc,"",17669
WI Harper Group,howliving,https://api.crunchbase.com/v3.1/organizations/howliving,"",54017
WI Harper Group,play-i,https://api.crunchbase.com/v3.1/organizations/play-i,"",2155
WI Harper Group,qfeeltech,https://api.crunchbase.com/v3.1/organizations/qfeeltech,"",185338
WI Harper Group,xw-laboratories,https://api.crunchbase.com/v3.1/organizations/xw-laboratories,"",38214
WI Harper Group,cloudbrain-2,https://api.crunchbase.com/v3.1/organizations/cloudbrain-2,"",119808
WI Harper Group,epic,https://api.crunchbase.com/v3.1/organizations/epic,"",3065
WI Harper Group,circle-pharma,https://api.crunchbase.com/v3.1/organizations/circle-pharma,"",33553
WI Harper Group,merit,https://api.crunchbase.com/v3.1/organizations/merit,"",11021
WI Harper Group,stealthy,https://api.crunchbase.com/v3.1/organizations/stealthy,"",1839
WI Harper Group,codementor,https://api.crunchbase.com/v3.1/organizations/codementor,"",10039
WI Harper Group,appier,https://api.crunchbase.com/v3.1/organizations/appier,"",1876
WI Harper Group,bitmark-inc,https://api.crunchbase.com/v3.1/organizations/bitmark-inc,"",23645
WI Harper Group,prynt,https://api.crunchbase.com/v3.1/organizations/prynt,"",14664
WI Harper Group,wynd-technologies,https://api.crunchbase.com/v3.1/organizations/wynd-technologies,"",16347
WI Harper Group,istaging,https://api.crunchbase.com/v3.1/organizations/istaging,"",21965
WI Harper Group,prenav,https://api.crunchbase.com/v3.1/organizations/prenav,"",13682
WI Harper Group,cryworks,https://api.crunchbase.com/v3.1/organizations/cryworks,"",194227
WI Harper Group,alpha-ring-international,https://api.crunchbase.com/v3.1/organizations/alpha-ring-international,"",43976
