Organization Name,Invested In,Api Url,Description,Rank
World Innovation Lab (WiL),kufu-inc,https://api.crunchbase.com/v3.1/organizations/kufu-inc,"",1755
World Innovation Lab (WiL),amadeus-code-tokyo-japan,https://api.crunchbase.com/v3.1/organizations/amadeus-code-tokyo-japan,"",22775
World Innovation Lab (WiL),auth0,https://api.crunchbase.com/v3.1/organizations/auth0,"",708
World Innovation Lab (WiL),konghq,https://api.crunchbase.com/v3.1/organizations/konghq,"",1985
World Innovation Lab (WiL),clearmotion,https://api.crunchbase.com/v3.1/organizations/clearmotion,"",5672
World Innovation Lab (WiL),asana,https://api.crunchbase.com/v3.1/organizations/asana,"",4821
World Innovation Lab (WiL),automation-anywhere,https://api.crunchbase.com/v3.1/organizations/automation-anywhere,"",1551
World Innovation Lab (WiL),peerstreet,https://api.crunchbase.com/v3.1/organizations/peerstreet,"",2325
World Innovation Lab (WiL),every-delish-kitchen,https://api.crunchbase.com/v3.1/organizations/every-delish-kitchen,"",34161
World Innovation Lab (WiL),transferwise,https://api.crunchbase.com/v3.1/organizations/transferwise,"",124
World Innovation Lab (WiL),extreme-design,https://api.crunchbase.com/v3.1/organizations/extreme-design,"",24833
World Innovation Lab (WiL),digital-shadows,https://api.crunchbase.com/v3.1/organizations/digital-shadows,"",244
World Innovation Lab (WiL),birdeye,https://api.crunchbase.com/v3.1/organizations/birdeye,"",17953
World Innovation Lab (WiL),flirtey,https://api.crunchbase.com/v3.1/organizations/flirtey,"",6188
World Innovation Lab (WiL),survios,https://api.crunchbase.com/v3.1/organizations/survios,"",1893
World Innovation Lab (WiL),intertrust-technologies,https://api.crunchbase.com/v3.1/organizations/intertrust-technologies,"",61839
World Innovation Lab (WiL),inagora,https://api.crunchbase.com/v3.1/organizations/inagora,"",15827
World Innovation Lab (WiL),toreta-inc-,https://api.crunchbase.com/v3.1/organizations/toreta-inc-,"",17454
World Innovation Lab (WiL),retty,https://api.crunchbase.com/v3.1/organizations/retty,"",22306
World Innovation Lab (WiL),soracom,https://api.crunchbase.com/v3.1/organizations/soracom,"",5215
World Innovation Lab (WiL),mercari,https://api.crunchbase.com/v3.1/organizations/mercari,"",792
World Innovation Lab (WiL),gigsky,https://api.crunchbase.com/v3.1/organizations/gigsky,"",13832
World Innovation Lab (WiL),reload-studios,https://api.crunchbase.com/v3.1/organizations/reload-studios,"",33895
World Innovation Lab (WiL),adara-media,https://api.crunchbase.com/v3.1/organizations/adara-media,"",3695
World Innovation Lab (WiL),doctor-on-demand,https://api.crunchbase.com/v3.1/organizations/doctor-on-demand,"",872
World Innovation Lab (WiL),raksul,https://api.crunchbase.com/v3.1/organizations/raksul,"",14624
World Innovation Lab (WiL),gumi,https://api.crunchbase.com/v3.1/organizations/gumi,"",7118
World Innovation Lab (WiL),hyakusenrenma,https://api.crunchbase.com/v3.1/organizations/hyakusenrenma,"",23769
World Innovation Lab (WiL),nuzzel,https://api.crunchbase.com/v3.1/organizations/nuzzel,"",13971
