Organization Name,Invested In,Api Url,Description,Rank
Wing Venture Capital,drip-capital,https://api.crunchbase.com/v3.1/organizations/drip-capital,"",80
Wing Venture Capital,seer-b1f0,https://api.crunchbase.com/v3.1/organizations/seer-b1f0,"",3375
Wing Venture Capital,valtix,https://api.crunchbase.com/v3.1/organizations/valtix,"",1503
Wing Venture Capital,astarte-medical-partners,https://api.crunchbase.com/v3.1/organizations/astarte-medical-partners,"",18132
Wing Venture Capital,mediphage-bioceuticals,https://api.crunchbase.com/v3.1/organizations/mediphage-bioceuticals,"",39753
Wing Venture Capital,obsidian-security,https://api.crunchbase.com/v3.1/organizations/obsidian-security,"",4716
Wing Venture Capital,ordr-aec7,https://api.crunchbase.com/v3.1/organizations/ordr-aec7,"",6030
Wing Venture Capital,gong-io,https://api.crunchbase.com/v3.1/organizations/gong-io,"",18653
Wing Venture Capital,aporeto,https://api.crunchbase.com/v3.1/organizations/aporeto,"",26011
Wing Venture Capital,starkware-industries-ltd,https://api.crunchbase.com/v3.1/organizations/starkware-industries-ltd,"",5713
Wing Venture Capital,snowflake-computing,https://api.crunchbase.com/v3.1/organizations/snowflake-computing,"",510
Wing Venture Capital,bungalow,https://api.crunchbase.com/v3.1/organizations/bungalow,"",1216
Wing Venture Capital,espressive,https://api.crunchbase.com/v3.1/organizations/espressive,"",10394
Wing Venture Capital,basecoin,https://api.crunchbase.com/v3.1/organizations/basecoin,"",44118
Wing Venture Capital,moogsoft,https://api.crunchbase.com/v3.1/organizations/moogsoft,"",1074
Wing Venture Capital,setsail,https://api.crunchbase.com/v3.1/organizations/setsail,"",12137
Wing Venture Capital,captain401,https://api.crunchbase.com/v3.1/organizations/captain401,"",4084
Wing Venture Capital,tigera,https://api.crunchbase.com/v3.1/organizations/tigera,"",26248
Wing Venture Capital,juvo-mobile-inc,https://api.crunchbase.com/v3.1/organizations/juvo-mobile-inc,"",2245
Wing Venture Capital,cloudpost-networks,https://api.crunchbase.com/v3.1/organizations/cloudpost-networks,"",13878
Wing Venture Capital,slashnext,https://api.crunchbase.com/v3.1/organizations/slashnext,"",10634
Wing Venture Capital,cohesity,https://api.crunchbase.com/v3.1/organizations/cohesity,"",213
Wing Venture Capital,clear-labs,https://api.crunchbase.com/v3.1/organizations/clear-labs,"",2093
Wing Venture Capital,cumulus-networks,https://api.crunchbase.com/v3.1/organizations/cumulus-networks,"",2088
Wing Venture Capital,oak-labs,https://api.crunchbase.com/v3.1/organizations/oak-labs,"",16420
Wing Venture Capital,apl-software,https://api.crunchbase.com/v3.1/organizations/apl-software,"",60488
Wing Venture Capital,pepperdata,https://api.crunchbase.com/v3.1/organizations/pepperdata,"",7302
Wing Venture Capital,apprity,https://api.crunchbase.com/v3.1/organizations/apprity,"",15598
Wing Venture Capital,yespath,https://api.crunchbase.com/v3.1/organizations/yespath,"",45503
Wing Venture Capital,dtex-systems,https://api.crunchbase.com/v3.1/organizations/dtex-systems,"",5611
Wing Venture Capital,xcalar,https://api.crunchbase.com/v3.1/organizations/xcalar,"",4587
Wing Venture Capital,jut-inc,https://api.crunchbase.com/v3.1/organizations/jut-inc,"",26933
Wing Venture Capital,primary-data,https://api.crunchbase.com/v3.1/organizations/primary-data,"",11886
Wing Venture Capital,scylladb,https://api.crunchbase.com/v3.1/organizations/scylladb,"",5292
Wing Venture Capital,cloudphysics,https://api.crunchbase.com/v3.1/organizations/cloudphysics,"",10095
Wing Venture Capital,synack,https://api.crunchbase.com/v3.1/organizations/synack,"",1765
Wing Venture Capital,sessionbox,https://api.crunchbase.com/v3.1/organizations/sessionbox,"",264125
Wing Venture Capital,pertino,https://api.crunchbase.com/v3.1/organizations/pertino,"",22832
Wing Venture Capital,morta-security,https://api.crunchbase.com/v3.1/organizations/morta-security,"",48114
Wing Venture Capital,fireeye,https://api.crunchbase.com/v3.1/organizations/fireeye,"",305
Wing Venture Capital,platfora,https://api.crunchbase.com/v3.1/organizations/platfora,"",6512
Wing Venture Capital,nimble-storage,https://api.crunchbase.com/v3.1/organizations/nimble-storage,"",6954
Wing Venture Capital,mobileiron,https://api.crunchbase.com/v3.1/organizations/mobileiron,"",888
Wing Venture Capital,shape-security,https://api.crunchbase.com/v3.1/organizations/shape-security,"",1132
Wing Venture Capital,insightsone,https://api.crunchbase.com/v3.1/organizations/insightsone,"",48439
Wing Venture Capital,instart-logic,https://api.crunchbase.com/v3.1/organizations/instart-logic,"",2140
Wing Venture Capital,vigilent,https://api.crunchbase.com/v3.1/organizations/vigilent,"",13968
