Organization Name,Invested In,Api Url,Description,Rank
XRC Labs,mayawell,https://api.crunchbase.com/v3.1/organizations/mayawell,"",111853
XRC Labs,the-laundry-chute,https://api.crunchbase.com/v3.1/organizations/the-laundry-chute,"",31056
XRC Labs,visuwall,https://api.crunchbase.com/v3.1/organizations/visuwall,"",31061
XRC Labs,curie,https://api.crunchbase.com/v3.1/organizations/curie,"",98822
XRC Labs,shopshops,https://api.crunchbase.com/v3.1/organizations/shopshops,"",27019
XRC Labs,lexset,https://api.crunchbase.com/v3.1/organizations/lexset,"",25335
XRC Labs,reefill,https://api.crunchbase.com/v3.1/organizations/reefill,"",177579
XRC Labs,monolith-3,https://api.crunchbase.com/v3.1/organizations/monolith-3,"",54606
XRC Labs,convrg,https://api.crunchbase.com/v3.1/organizations/convrg,"",46249
XRC Labs,kirakira,https://api.crunchbase.com/v3.1/organizations/kirakira,"",38073
XRC Labs,snappy-app,https://api.crunchbase.com/v3.1/organizations/snappy-app,"",7231
XRC Labs,trademonday,https://api.crunchbase.com/v3.1/organizations/trademonday,"",50402
XRC Labs,nimbly-2,https://api.crunchbase.com/v3.1/organizations/nimbly-2,"",136859
XRC Labs,affinity-3,https://api.crunchbase.com/v3.1/organizations/affinity-3,"",157954
XRC Labs,convey-clothing,https://api.crunchbase.com/v3.1/organizations/convey-clothing,"",146970
XRC Labs,wondermile,https://api.crunchbase.com/v3.1/organizations/wondermile,"",156324
XRC Labs,facenote,https://api.crunchbase.com/v3.1/organizations/facenote,"",137230
XRC Labs,kid-things,https://api.crunchbase.com/v3.1/organizations/kid-things,"",271748
XRC Labs,cherry-pick-ai,https://api.crunchbase.com/v3.1/organizations/cherry-pick-ai,"",104270
XRC Labs,feather-bone,https://api.crunchbase.com/v3.1/organizations/feather-bone,"",220206
XRC Labs,ffora,https://api.crunchbase.com/v3.1/organizations/ffora,"",106939
XRC Labs,chatquery,https://api.crunchbase.com/v3.1/organizations/chatquery,"",112756
XRC Labs,mystor-e,https://api.crunchbase.com/v3.1/organizations/mystor-e,"",27578
XRC Labs,billie,https://api.crunchbase.com/v3.1/organizations/billie,"",1865
XRC Labs,benjamin,https://api.crunchbase.com/v3.1/organizations/benjamin,"",36225
XRC Labs,cartogram,https://api.crunchbase.com/v3.1/organizations/cartogram,"",40088
XRC Labs,mirror-that-look,https://api.crunchbase.com/v3.1/organizations/mirror-that-look,"",144210
XRC Labs,ziel,https://api.crunchbase.com/v3.1/organizations/ziel,"",26961
XRC Labs,furnishr,https://api.crunchbase.com/v3.1/organizations/furnishr,"",89732
XRC Labs,olam-online-the-mall,https://api.crunchbase.com/v3.1/organizations/olam-online-the-mall,"",255004
XRC Labs,savvy-society,https://api.crunchbase.com/v3.1/organizations/savvy-society,"",308823
XRC Labs,banter-3,https://api.crunchbase.com/v3.1/organizations/banter-3,"",160957
XRC Labs,seashells,https://api.crunchbase.com/v3.1/organizations/seashells,"",69968
XRC Labs,perseus-mirrors,https://api.crunchbase.com/v3.1/organizations/perseus-mirrors,"",148387
XRC Labs,wearaway,https://api.crunchbase.com/v3.1/organizations/wearaway,"",111010
XRC Labs,by-reveal,https://api.crunchbase.com/v3.1/organizations/by-reveal,"",183443
XRC Labs,the-crated,https://api.crunchbase.com/v3.1/organizations/the-crated,"",109607
XRC Labs,forrge,https://api.crunchbase.com/v3.1/organizations/forrge,"",10254
XRC Labs,virtualapt,https://api.crunchbase.com/v3.1/organizations/virtualapt,"",99835
XRC Labs,urbacraft,https://api.crunchbase.com/v3.1/organizations/urbacraft,"",550119
XRC Labs,caraa,https://api.crunchbase.com/v3.1/organizations/caraa,"",130413
XRC Labs,reingeclothing,https://api.crunchbase.com/v3.1/organizations/reingeclothing,"",115813
XRC Labs,okmyoutfit,https://api.crunchbase.com/v3.1/organizations/okmyoutfit,"",133832
XRC Labs,gleem-co,https://api.crunchbase.com/v3.1/organizations/gleem-co,"",191233
XRC Labs,natalia,https://api.crunchbase.com/v3.1/organizations/natalia,"",473555
XRC Labs,findmine,https://api.crunchbase.com/v3.1/organizations/findmine,"",13967
