Organization Name,Invested In,Api Url,Description,Rank
Envestnet Yodlee Incubator,rocket-dollar,https://api.crunchbase.com/v3.1/organizations/rocket-dollar,"",6201
Envestnet Yodlee Incubator,betterfin,https://api.crunchbase.com/v3.1/organizations/betterfin,"",18888
Envestnet Yodlee Incubator,class-action-inc,https://api.crunchbase.com/v3.1/organizations/class-action-inc,"",151409
Envestnet Yodlee Incubator,pensio-inc,https://api.crunchbase.com/v3.1/organizations/pensio-inc,"",132951
Envestnet Yodlee Incubator,productfy,https://api.crunchbase.com/v3.1/organizations/productfy,"",103072
Envestnet Yodlee Incubator,transaction-connect,https://api.crunchbase.com/v3.1/organizations/transaction-connect,"",125728
Envestnet Yodlee Incubator,zinsur,https://api.crunchbase.com/v3.1/organizations/zinsur,"",120394
Envestnet Yodlee Incubator,myperfectfinancialadvisor,https://api.crunchbase.com/v3.1/organizations/myperfectfinancialadvisor,"",255200
Envestnet Yodlee Incubator,hurry-home,https://api.crunchbase.com/v3.1/organizations/hurry-home,"",109549
Envestnet Yodlee Incubator,veryfi,https://api.crunchbase.com/v3.1/organizations/veryfi,"",81329
Envestnet Yodlee Incubator,tangello,https://api.crunchbase.com/v3.1/organizations/tangello,"",134962
Envestnet Yodlee Incubator,datasine,https://api.crunchbase.com/v3.1/organizations/datasine,"",7536
Envestnet Yodlee Incubator,stessa,https://api.crunchbase.com/v3.1/organizations/stessa,"",59596
Envestnet Yodlee Incubator,starbutter-ai,https://api.crunchbase.com/v3.1/organizations/starbutter-ai,"",33371
Envestnet Yodlee Incubator,golden,https://api.crunchbase.com/v3.1/organizations/golden,"",97307
Envestnet Yodlee Incubator,amplifunds,https://api.crunchbase.com/v3.1/organizations/amplifunds,"",157655
Envestnet Yodlee Incubator,curacubby,https://api.crunchbase.com/v3.1/organizations/curacubby,"",74530
Envestnet Yodlee Incubator,capitalize-nation,https://api.crunchbase.com/v3.1/organizations/capitalize-nation,"",283782
Envestnet Yodlee Incubator,finvoice,https://api.crunchbase.com/v3.1/organizations/finvoice,"",109698
Envestnet Yodlee Incubator,aug-mental,https://api.crunchbase.com/v3.1/organizations/aug-mental,"",383918
Envestnet Yodlee Incubator,streamloan-inc,https://api.crunchbase.com/v3.1/organizations/streamloan-inc,"",66334
Envestnet Yodlee Incubator,genivity,https://api.crunchbase.com/v3.1/organizations/genivity,"",96559
Envestnet Yodlee Incubator,finch-australia,https://api.crunchbase.com/v3.1/organizations/finch-australia,"",25877
Envestnet Yodlee Incubator,domuso-inc,https://api.crunchbase.com/v3.1/organizations/domuso-inc,"",11562
Envestnet Yodlee Incubator,totum-wealth,https://api.crunchbase.com/v3.1/organizations/totum-wealth,"",132108
Envestnet Yodlee Incubator,track-3,https://api.crunchbase.com/v3.1/organizations/track-3,"",31931
Envestnet Yodlee Incubator,simplifier-corporation,https://api.crunchbase.com/v3.1/organizations/simplifier-corporation,"",94942
Envestnet Yodlee Incubator,snapcheck,https://api.crunchbase.com/v3.1/organizations/snapcheck,"",88736
Envestnet Yodlee Incubator,datacoup,https://api.crunchbase.com/v3.1/organizations/datacoup,"",22233
Envestnet Yodlee Incubator,levanto-financial-inc-,https://api.crunchbase.com/v3.1/organizations/levanto-financial-inc-,"",45788
Envestnet Yodlee Incubator,accredify,https://api.crunchbase.com/v3.1/organizations/accredify,"",60635
Envestnet Yodlee Incubator,ocx,https://api.crunchbase.com/v3.1/organizations/ocx,"",312119
Envestnet Yodlee Incubator,evolved-bookkeeping,https://api.crunchbase.com/v3.1/organizations/evolved-bookkeeping,"",568013
Envestnet Yodlee Incubator,telito,https://api.crunchbase.com/v3.1/organizations/telito,"",427695
Envestnet Yodlee Incubator,draft-2,https://api.crunchbase.com/v3.1/organizations/draft-2,"",65642
Envestnet Yodlee Incubator,voatz,https://api.crunchbase.com/v3.1/organizations/voatz,"",4011
Envestnet Yodlee Incubator,roostify,https://api.crunchbase.com/v3.1/organizations/roostify,"",2192
