Organization Name,Invested In,Api Url,Description,Rank
ZenStone Venture Capital,equityzen-inc,https://api.crunchbase.com/v3.1/organizations/equityzen-inc,"",1930
ZenStone Venture Capital,creditera,https://api.crunchbase.com/v3.1/organizations/creditera,"",2521
ZenStone Venture Capital,decormatters-com,https://api.crunchbase.com/v3.1/organizations/decormatters-com,"",9673
ZenStone Venture Capital,sourceasy,https://api.crunchbase.com/v3.1/organizations/sourceasy,"",20304
ZenStone Venture Capital,wrapify,https://api.crunchbase.com/v3.1/organizations/wrapify,"",6737
ZenStone Venture Capital,schoolmint,https://api.crunchbase.com/v3.1/organizations/schoolmint,"",10512
ZenStone Venture Capital,branch-metrics,https://api.crunchbase.com/v3.1/organizations/branch-metrics,"",8408
ZenStone Venture Capital,rentlytics,https://api.crunchbase.com/v3.1/organizations/rentlytics,"",7897
ZenStone Venture Capital,boatbound,https://api.crunchbase.com/v3.1/organizations/boatbound,"",8384
ZenStone Venture Capital,autofi,https://api.crunchbase.com/v3.1/organizations/autofi,"",4904
ZenStone Venture Capital,instamotor,https://api.crunchbase.com/v3.1/organizations/instamotor,"",16864
ZenStone Venture Capital,able,https://api.crunchbase.com/v3.1/organizations/able,"",10344
ZenStone Venture Capital,roofstock,https://api.crunchbase.com/v3.1/organizations/roofstock,"",1010
ZenStone Venture Capital,popular-pays,https://api.crunchbase.com/v3.1/organizations/popular-pays,"",6605
ZenStone Venture Capital,crew,https://api.crunchbase.com/v3.1/organizations/crew,"",16785
ZenStone Venture Capital,dwell-media,https://api.crunchbase.com/v3.1/organizations/dwell-media,"",94245
ZenStone Venture Capital,descomplica,https://api.crunchbase.com/v3.1/organizations/descomplica,"",8686
ZenStone Venture Capital,newswhip,https://api.crunchbase.com/v3.1/organizations/newswhip,"",11426
ZenStone Venture Capital,filamenthq,https://api.crunchbase.com/v3.1/organizations/filamenthq,"",7265
ZenStone Venture Capital,realcrowd,https://api.crunchbase.com/v3.1/organizations/realcrowd,"",9969
ZenStone Venture Capital,shyp,https://api.crunchbase.com/v3.1/organizations/shyp,"",32992
ZenStone Venture Capital,vacatia,https://api.crunchbase.com/v3.1/organizations/vacatia,"",14682
ZenStone Venture Capital,helico-aerospace-industries,https://api.crunchbase.com/v3.1/organizations/helico-aerospace-industries,"",21624
ZenStone Venture Capital,homelight,https://api.crunchbase.com/v3.1/organizations/homelight,"",428
ZenStone Venture Capital,pillow,https://api.crunchbase.com/v3.1/organizations/pillow,"",4458
ZenStone Venture Capital,kinsa-inc,https://api.crunchbase.com/v3.1/organizations/kinsa-inc,"",7353
ZenStone Venture Capital,upcounsel,https://api.crunchbase.com/v3.1/organizations/upcounsel,"",4542
ZenStone Venture Capital,peer5,https://api.crunchbase.com/v3.1/organizations/peer5,"",12577
ZenStone Venture Capital,mobileworks,https://api.crunchbase.com/v3.1/organizations/mobileworks,"",4026
ZenStone Venture Capital,bison,https://api.crunchbase.com/v3.1/organizations/bison,"",16031
ZenStone Venture Capital,lenda,https://api.crunchbase.com/v3.1/organizations/lenda,"",8661
ZenStone Venture Capital,moviepass,https://api.crunchbase.com/v3.1/organizations/moviepass,"",8045
ZenStone Venture Capital,enevo,https://api.crunchbase.com/v3.1/organizations/enevo,"",6475
ZenStone Venture Capital,life360,https://api.crunchbase.com/v3.1/organizations/life360,"",992
