Organization Name,Invested In,Api Url,Description,Rank
Zillionize Angel,upcodes,https://api.crunchbase.com/v3.1/organizations/upcodes,"",18831
Zillionize Angel,lambda-school,https://api.crunchbase.com/v3.1/organizations/lambda-school,"",425
Zillionize Angel,quilt-data,https://api.crunchbase.com/v3.1/organizations/quilt-data,"",15067
Zillionize Angel,pyka,https://api.crunchbase.com/v3.1/organizations/pyka,"",17569
Zillionize Angel,tpaga,https://api.crunchbase.com/v3.1/organizations/tpaga,"",8694
Zillionize Angel,plasticity,https://api.crunchbase.com/v3.1/organizations/plasticity,"",41341
Zillionize Angel,guggy,https://api.crunchbase.com/v3.1/organizations/guggy,"",30065
Zillionize Angel,bxblue,https://api.crunchbase.com/v3.1/organizations/bxblue,"",88900
Zillionize Angel,py,https://api.crunchbase.com/v3.1/organizations/py,"",19329
Zillionize Angel,upkeep-maintenance-management,https://api.crunchbase.com/v3.1/organizations/upkeep-maintenance-management,"",1262
Zillionize Angel,chatfuel,https://api.crunchbase.com/v3.1/organizations/chatfuel,"",65594
Zillionize Angel,jerry-3,https://api.crunchbase.com/v3.1/organizations/jerry-3,"",68307
Zillionize Angel,riley-2,https://api.crunchbase.com/v3.1/organizations/riley-2,"",16298
Zillionize Angel,boom-technology,https://api.crunchbase.com/v3.1/organizations/boom-technology,"",3418
Zillionize Angel,xix-ai,https://api.crunchbase.com/v3.1/organizations/xix-ai,"",43532
Zillionize Angel,armory,https://api.crunchbase.com/v3.1/organizations/armory,"",235
Zillionize Angel,veryfi,https://api.crunchbase.com/v3.1/organizations/veryfi,"",81329
Zillionize Angel,pit-ai-technologies,https://api.crunchbase.com/v3.1/organizations/pit-ai-technologies,"",96290
Zillionize Angel,scaphold-inc,https://api.crunchbase.com/v3.1/organizations/scaphold-inc,"",27928
Zillionize Angel,cowlar,https://api.crunchbase.com/v3.1/organizations/cowlar,"",37613
Zillionize Angel,deepgram,https://api.crunchbase.com/v3.1/organizations/deepgram,"",11818
Zillionize Angel,innov8-coworking,https://api.crunchbase.com/v3.1/organizations/innov8-coworking,"",6473
Zillionize Angel,apollo-shield,https://api.crunchbase.com/v3.1/organizations/apollo-shield,"",17950
Zillionize Angel,jumpcut-studios,https://api.crunchbase.com/v3.1/organizations/jumpcut-studios,"",10189
Zillionize Angel,sixa,https://api.crunchbase.com/v3.1/organizations/sixa,"",17850
Zillionize Angel,coub,https://api.crunchbase.com/v3.1/organizations/coub,"",12059
Zillionize Angel,wallarm,https://api.crunchbase.com/v3.1/organizations/wallarm,"",4520
Zillionize Angel,martians,https://api.crunchbase.com/v3.1/organizations/martians,"",1420
Zillionize Angel,omg-digital,https://api.crunchbase.com/v3.1/organizations/omg-digital,"",28932
Zillionize Angel,multiply-labs,https://api.crunchbase.com/v3.1/organizations/multiply-labs,"",12764
Zillionize Angel,heysimbi,https://api.crunchbase.com/v3.1/organizations/heysimbi,"",23635
Zillionize Angel,flutterwave,https://api.crunchbase.com/v3.1/organizations/flutterwave,"",942
Zillionize Angel,metapacket,https://api.crunchbase.com/v3.1/organizations/metapacket,"",139755
Zillionize Angel,people-ai,https://api.crunchbase.com/v3.1/organizations/people-ai,"",16295
Zillionize Angel,yardbook,https://api.crunchbase.com/v3.1/organizations/yardbook,"",37144
Zillionize Angel,sound-boks,https://api.crunchbase.com/v3.1/organizations/sound-boks,"",9069
Zillionize Angel,materialup,https://api.crunchbase.com/v3.1/organizations/materialup,"",33399
Zillionize Angel,protonet,https://api.crunchbase.com/v3.1/organizations/protonet,"",32789
Zillionize Angel,drivezy,https://api.crunchbase.com/v3.1/organizations/drivezy,"",484
Zillionize Angel,wakie-budist,https://api.crunchbase.com/v3.1/organizations/wakie-budist,"",14215
Zillionize Angel,petcube,https://api.crunchbase.com/v3.1/organizations/petcube,"",23086
Zillionize Angel,pakible,https://api.crunchbase.com/v3.1/organizations/pakible,"",22523
Zillionize Angel,zeplin,https://api.crunchbase.com/v3.1/organizations/zeplin,"",7822
Zillionize Angel,acre-designs,https://api.crunchbase.com/v3.1/organizations/acre-designs,"",24140
Zillionize Angel,semantics3,https://api.crunchbase.com/v3.1/organizations/semantics3,"",13869
Zillionize Angel,interviewed,https://api.crunchbase.com/v3.1/organizations/interviewed,"",18914
Zillionize Angel,flirtey,https://api.crunchbase.com/v3.1/organizations/flirtey,"",6188
Zillionize Angel,bitmovin,https://api.crunchbase.com/v3.1/organizations/bitmovin,"",33415
Zillionize Angel,listenloop,https://api.crunchbase.com/v3.1/organizations/listenloop,"",23909
Zillionize Angel,wheelys,https://api.crunchbase.com/v3.1/organizations/wheelys,"",18592
Zillionize Angel,auro-robotics,https://api.crunchbase.com/v3.1/organizations/auro-robotics,"",11332
Zillionize Angel,picktrace,https://api.crunchbase.com/v3.1/organizations/picktrace,"",78044
Zillionize Angel,luna-mattress,https://api.crunchbase.com/v3.1/organizations/luna-mattress,"",252081
Zillionize Angel,envoy-2,https://api.crunchbase.com/v3.1/organizations/envoy-2,"",29621
Zillionize Angel,alumnify,https://api.crunchbase.com/v3.1/organizations/alumnify,"",32859
Zillionize Angel,final,https://api.crunchbase.com/v3.1/organizations/final,"",12194
Zillionize Angel,go1,https://api.crunchbase.com/v3.1/organizations/go1,"",4607
Zillionize Angel,vangoart,https://api.crunchbase.com/v3.1/organizations/vangoart,"",16880
Zillionize Angel,underground-cellar,https://api.crunchbase.com/v3.1/organizations/underground-cellar,"",25588
Zillionize Angel,craftcoffee,https://api.crunchbase.com/v3.1/organizations/craftcoffee,"",30247
Zillionize Angel,smarking,https://api.crunchbase.com/v3.1/organizations/smarking,"",11352
Zillionize Angel,gravitational,https://api.crunchbase.com/v3.1/organizations/gravitational,"",11626
Zillionize Angel,shipbob,https://api.crunchbase.com/v3.1/organizations/shipbob,"",1792
Zillionize Angel,platejoy,https://api.crunchbase.com/v3.1/organizations/platejoy,"",12079
Zillionize Angel,cheddar-up,https://api.crunchbase.com/v3.1/organizations/cheddar-up,"",23012
Zillionize Angel,virtkick,https://api.crunchbase.com/v3.1/organizations/virtkick,"",46322
Zillionize Angel,io,https://api.crunchbase.com/v3.1/organizations/io,"",7463
Zillionize Angel,level-4,https://api.crunchbase.com/v3.1/organizations/level-4,"",71000
Zillionize Angel,bluesmart,https://api.crunchbase.com/v3.1/organizations/bluesmart,"",7454
Zillionize Angel,givemetap,https://api.crunchbase.com/v3.1/organizations/givemetap,"",151079
Zillionize Angel,sendbird,https://api.crunchbase.com/v3.1/organizations/sendbird,"",18856
Zillionize Angel,treeline,https://api.crunchbase.com/v3.1/organizations/treeline,"",57956
Zillionize Angel,paperspace,https://api.crunchbase.com/v3.1/organizations/paperspace,"",3522
Zillionize Angel,italist,https://api.crunchbase.com/v3.1/organizations/italist,"",16039
Zillionize Angel,jopwell,https://api.crunchbase.com/v3.1/organizations/jopwell,"",6350
Zillionize Angel,epic,https://api.crunchbase.com/v3.1/organizations/epic,"",3065
Zillionize Angel,vaycayhero,https://api.crunchbase.com/v3.1/organizations/vaycayhero,"",28295
Zillionize Angel,platzi,https://api.crunchbase.com/v3.1/organizations/platzi,"",1955
Zillionize Angel,palate-home,https://api.crunchbase.com/v3.1/organizations/palate-home,"",40218
Zillionize Angel,lawn-love,https://api.crunchbase.com/v3.1/organizations/lawn-love,"",9664
Zillionize Angel,boostable,https://api.crunchbase.com/v3.1/organizations/boostable,"",14425
Zillionize Angel,ghostruck,https://api.crunchbase.com/v3.1/organizations/ghostruck,"",36742
Zillionize Angel,swapbox,https://api.crunchbase.com/v3.1/organizations/swapbox,"",21522
Zillionize Angel,lawdingo,https://api.crunchbase.com/v3.1/organizations/lawdingo,"",36459
Zillionize Angel,bevi,https://api.crunchbase.com/v3.1/organizations/bevi,"",3463
Zillionize Angel,mtailor,https://api.crunchbase.com/v3.1/organizations/mtailor,"",30984
Zillionize Angel,unwind-me,https://api.crunchbase.com/v3.1/organizations/unwind-me,"",131969
Zillionize Angel,walksource,https://api.crunchbase.com/v3.1/organizations/walksource,"",30366
Zillionize Angel,slicedinvesting,https://api.crunchbase.com/v3.1/organizations/slicedinvesting,"",30327
Zillionize Angel,chewse,https://api.crunchbase.com/v3.1/organizations/chewse,"",3243
Zillionize Angel,fixed-3,https://api.crunchbase.com/v3.1/organizations/fixed-3,"",11800
Zillionize Angel,persistiq,https://api.crunchbase.com/v3.1/organizations/persistiq,"",15164
Zillionize Angel,hauteday,https://api.crunchbase.com/v3.1/organizations/hauteday,"",232340
Zillionize Angel,glowing-plant,https://api.crunchbase.com/v3.1/organizations/glowing-plant,"",32713
Zillionize Angel,vatler,https://api.crunchbase.com/v3.1/organizations/vatler,"",76333
Zillionize Angel,neptune-io,https://api.crunchbase.com/v3.1/organizations/neptune-io,"",28751
Zillionize Angel,shout-app,https://api.crunchbase.com/v3.1/organizations/shout-app,"",107955
Zillionize Angel,algolia,https://api.crunchbase.com/v3.1/organizations/algolia,"",698
Zillionize Angel,weave-2,https://api.crunchbase.com/v3.1/organizations/weave-2,"",38633
Zillionize Angel,secured-3d-2,https://api.crunchbase.com/v3.1/organizations/secured-3d-2,"",200770
Zillionize Angel,truevault,https://api.crunchbase.com/v3.1/organizations/truevault,"",10785
Zillionize Angel,next-caller,https://api.crunchbase.com/v3.1/organizations/next-caller,"",15218
Zillionize Angel,sense-ly,https://api.crunchbase.com/v3.1/organizations/sense-ly,"",3209
Zillionize Angel,cruise,https://api.crunchbase.com/v3.1/organizations/cruise,"",152
Zillionize Angel,airpair,https://api.crunchbase.com/v3.1/organizations/airpair,"",119027
Zillionize Angel,airhelp,https://api.crunchbase.com/v3.1/organizations/airhelp,"",2488
Zillionize Angel,surefield,https://api.crunchbase.com/v3.1/organizations/surefield,"",180242
Zillionize Angel,frontleaf,https://api.crunchbase.com/v3.1/organizations/frontleaf,"",47749
Zillionize Angel,3dprinteros,https://api.crunchbase.com/v3.1/organizations/3dprinteros,"",95471
Zillionize Angel,trusper,https://api.crunchbase.com/v3.1/organizations/trusper,"",13603
Zillionize Angel,simplelegal,https://api.crunchbase.com/v3.1/organizations/simplelegal,"",5304
Zillionize Angel,buttercoin,https://api.crunchbase.com/v3.1/organizations/buttercoin,"",40125
Zillionize Angel,meldium,https://api.crunchbase.com/v3.1/organizations/meldium,"",32942
Zillionize Angel,meta-view,https://api.crunchbase.com/v3.1/organizations/meta-view,"",4133
Zillionize Angel,striking-ly,https://api.crunchbase.com/v3.1/organizations/striking-ly,"",6967
Zillionize Angel,zapier,https://api.crunchbase.com/v3.1/organizations/zapier,"",34184
Zillionize Angel,myvr,https://api.crunchbase.com/v3.1/organizations/myvr,"",12061
Zillionize Angel,bakedcode,https://api.crunchbase.com/v3.1/organizations/bakedcode,"",128972
Zillionize Angel,mobileworks,https://api.crunchbase.com/v3.1/organizations/mobileworks,"",4020
Zillionize Angel,toutapp,https://api.crunchbase.com/v3.1/organizations/toutapp,"",8226
Zillionize Angel,mailgun,https://api.crunchbase.com/v3.1/organizations/mailgun,"",3761
